"","Quality","Alcohol","Density","pH"
"1",7.17113620624878,11.3,0.99416,3.28
"2",5.60294913267717,10.4,0.9953,3.34
"3",7.7626332687214,11.8,0.99664,3.12
"4",7.91701792413369,11.6,0.9971,3.19
"5",5.50557133625261,11.1,0.9966,3.32
"6",5.87779445853084,9.7,0.99552,3.33
"7",6.57059095310979,9.7,0.9968,3.43
"8",6.20999273122288,10.1,0.99531,3.36
"9",7.71485626185313,9.5,0.9968,3.36
"10",5.31310355453752,9.6,0.99818,3.23
"11",5.58925544167869,13,0.99286,3.22
"12",6.59835227928124,9.8,0.9974,3.24
"13",5.66440541134216,12.6,0.99334,3.43
"14",6.28491973062046,10.4,0.99588,3.53
"15",5.38768297340721,9.1,0.998,3.48
"16",8.83487215451896,11.7,0.99516,3.35
"17",6.34998458693735,10.4,0.9953,3.47
"18",6.04783320985734,10,0.9968,3.44
"19",5.8743760373909,10.5,0.99772,3.15
"20",5.50812756596133,9.4,0.9981,3.37
"21",7.45894291927107,11.7,0.99523,3.27
"22",5.78565349103883,11.7,0.99322,3.38
"23",5.67510113399476,9.4,0.99878,3.14
"24",6.84437641664408,11.4,0.99354,3.3
"25",5.19218389200978,10.8,0.99551,3.56
"26",6.31184342317283,10,0.99815,3.28
"27",5.0072294853162,10.6,0.99496,3.52
"28",5.09731680667028,9.4,0.99693,3.44
"29",6.6704384740442,9.4,0.9968,3.39
"30",5.97897367877886,9.6,0.9986,2.89
"31",5.52281871647574,10.2,0.9968,3.46
"32",5.29296561540104,10.5,0.99562,3.3
"33",5.10274332738481,9.2,0.99629,3.34
"34",6.96298703248613,10.9,0.99514,3.4
"35",7.07303117099218,11,0.99732,3.33
"36",6.75999102648348,10.3,0.9997,3.1
"37",5.48262976389378,9.8,0.99612,3.3
"38",6.34245933964849,11.9,0.99642,3.2
"39",5.27542227134109,9.3,0.9972,3.12
"40",6.60744537529536,11.7,0.9972,3.22
"41",5.0830313579645,9.6,0.9961,3.3
"42",7.30387951247394,12.4,0.99528,3.32
"43",4.95713849551976,10,0.9962,3.26
"44",5.76572736818343,9.5,0.99718,3.4
"45",6.51441923482344,10.2,0.9969,2.87
"46",5.31861221301369,9.5,0.99745,3.53
"47",5.64498099661432,9.2,0.998,3.42
"48",4.40533674857579,10.3,0.99719,3.33
"49",7.0235012753401,10.9,0.99572,3.02
"50",5.5036304674577,9.4,0.996,3.33
"51",5.24577402858995,9.8,0.99732,3.66
"52",6.80028454377316,10.8,0.99557,3.36
"53",6.11306809424423,11.2,0.99576,3.3
"54",7.5472842073068,10.55,0.99514,3.44
"55",6.18962954217568,10.5,0.99725,3.25
"56",7.65178400836885,9.9,0.9972,3.25
"57",5.30985058867373,10.9,0.9962,3.41
"58",6.15915263956413,10.9,0.99514,3.4
"59",5.43207830423489,9.4,0.9984,3.16
"60",6.08872519736178,9.8,0.99565,3.08
"61",6.48305473220535,11.5,0.9982,3.16
"62",6.91968880989589,12,0.99617,3.33
"63",6.1345275095664,10.2,0.99551,3.21
"64",3.0763844109606,9.9,0.99832,3.38
"65",7.19768238160759,10.3,0.99695,3.22
"66",5.11452334444039,9.2,0.99892,3.2
"67",4.3052706902381,9.8,0.994,3.5
"68",6.21809458034113,10.9,0.99724,3.33
"69",6.26033549965359,10.2,0.99786,3.47
"70",6.60860123159364,11.5,0.9961,3.42
"71",5.40473436843604,12.9,0.99258,3.56
"72",5.78933530976065,9.5,0.9964,3.27
"73",5.69804579298943,9.8,0.998,3.33
"74",7.20010778005235,13.6,0.99182,3.54
"75",7.3578698921483,11.6,0.99643,3.22
"76",5.13788017630577,9.4,0.99782,3.3
"77",6.13648677081801,11.1,0.99514,3.44
"78",6.46571220248006,10.6,0.9967,3.32
"79",6.92249354720116,11.4,0.9956,3.3
"80",6.83256632951088,11,1.0003,3.32
"81",6.90498357824981,11.8,0.995,3.46
"82",5.98123789392412,9.3,0.99664,3.24
"83",6.98665830213577,10.7,0.99612,3.31
"84",5.97258370229974,9.3,0.9968,3.21
"85",7.6877083198633,9.9,0.9976,2.98
"86",6.18333615199663,11.7,0.997,3.26
"87",7.98408420826308,12,1.0014,3.2
"88",6.09973290585913,9.8,0.99616,3.29
"89",6.57750159222633,9.3,0.9998,3.12
"90",5.98495593899861,9.4,1.0006,2.98
"91",6.0478290442843,10.1,0.99824,3.38
"92",6.82133859023452,11.5,0.99734,3.28
"93",7.52000300539657,12.4,0.99408,3.26
"94",6.53695337544195,10.7,0.999,3.31
"95",6.1839004883077,10.9,0.9974,3.22
"96",5.40333443135023,9.5,0.99448,3.36
"97",6.05919639859349,10.8,0.99522,3.42
"98",5.55140102282166,9.2,0.9972,3.46
"99",6.28498947550543,10.3,0.99721,3.33
"100",5.07407223107293,11,0.9962,3.31
"101",7.92315725190565,12.5,0.99386,3.27
"102",6.12354067876004,9.5,0.99888,3.31
"103",6.87140282406472,9.9,0.99682,3.26
"104",5.02871313854121,9.8,0.9963,3.28
"105",6.56903598504141,10,0.9985,3.22
"106",5.81226120865904,11.2,0.99516,3.18
"107",5.40309076034464,10.4,0.99634,3.49
"108",6.90218945406377,10,1.0014,3.06
"109",7.32890687487088,12.8,0.9928,3.36
"110",5.14968101703562,9.2,0.9973,3.2
"111",6.77851316379383,10.3,0.99564,3.38
"112",5.94216808700003,9.4,0.997,3.44
"113",7.35067123174667,12.9,0.9924,3.46
"114",5.52290331362747,12.2,0.9963,3.52
"115",6.35508843371645,11.4,0.99774,3.22
"116",7.22310030111112,10.8,0.9976,3.21
"117",5.61333172698505,9.5,0.9974,3.13
"118",6.99140108772554,11.2,0.99402,3.45
"119",5.61194183281623,9.3,0.9966,3.27
"120",7.93533837818541,12.8,0.99473,3.3
"121",5.04595529427752,9.1,0.99801,3.15
"122",5.97002787329257,14.9,0.9976,2.98
"123",5.98399921739474,9.4,0.9957,3.15
"124",7.09803669271059,10,0.9946,3.39
"125",5.3807608417701,9.8,0.99712,3.44
"126",5.97324739815667,9.5,0.99593,3.19
"127",5.01021817605942,10,0.99735,3.36
"128",6.30884092394263,12.2,0.99191,3.45
"129",5.84923503990285,9.9,0.99613,3.3
"130",6.81955610704608,14,0.9916,3.68
"131",6.71920603537001,11.7,0.9946,3.57
"132",3.27517185243778,11,0.99892,3.48
